wmo,gain,calculation_date,N_cycle_at_time_of_calc
4902481,1.0489585619374422,2023-10-31,108
4902549,1.0498847157096802,2023-10-31,51
4902550,1.0797149762723126,2023-10-31,35
4902551,1.0606518933824034,2023-10-31,51
4902552,1.064794375419227,2023-10-31,34
4902553,1.0619548299411898,2023-10-31,35
4902554,1.049623902202888,2023-10-31,35
4902555,1.0694528843318243,2023-10-31,35
4902596,1.0194521971431303,2023-10-31,30
4902597,1.074785057267093,2023-10-31,28
4902598,1.0914905573258546,2023-10-31,41
4902599,1.0586320289924573,2023-10-31,38
4902600,1.0462757048527496,2023-10-31,5
4902601,1.0658254851151867,2023-10-31,4
4902612,1.0712967281057668,2023-10-31,48
4902613,1.0832995737705962,2023-10-31,40
4902614,1.1328934407808111,2023-10-31,15
4902616,1.0565761653868946,2023-10-31,49
4902620,1.0689100846097652,2023-10-31,38
4902623,1.0263239809492706,2023-10-31,37
4902626,1.0351169873614618,2023-10-31,38
4902627,1.0521307119885397,2023-10-31,5
4902628,1.0254315049290446,2023-10-31,35
4902633,1.0577737776779517,2023-10-31,18
4902634,1.042999281054704,2023-10-31,18
4902635,1.2273641208419168,2023-10-31,12
4902636,1.0271999112752512,2023-10-31,12
4902637,1.0492538418384025,2023-10-31,12